FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Quartile,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (white),YPLL Rate (white) 95% CI - Low,YPLL Rate (white) 95% CI - High,YPLL Rate (white) Unreliable,% Fair or Poor Health,95% CI - Low,95% CI - High,Quartile,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Unreliable,% Low birthweight,95% CI - Low,95% CI - High,Quartile,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (white),% LBW (white) 95% CI - Low,% LBW (white) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Quartile,% Adults with Obesity,95% CI - Low,95% CI - High,Quartile,Food Environment Index,Quartile,% Physically Inactive,95% CI - Low,95% CI - High,Quartile,% With Access to Exercise Opportunities,Quartile,% Excessive Drinking,95% CI - Low,95% CI - High,Quartile,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Quartile,# Chlamydia Cases,Chlamydia Rate,Quartile,Teen Birth Rate,95% CI - Low,95% CI - High,Quartile,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (white),Teen Birth Rate (white) 95% CI - Low,Teen Birth Rate (white) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Quartile,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Quartile,# Dentists,Dentist Rate,Dentist Ratio,Quartile,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Quartile,Preventable Hospitalization Rate,Quartile,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (white),% With Annual Mammogram,Quartile,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (white),% Vaccinated,Quartile,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (white),# Completed High School,Population,% Completed High School,95% CI - Low,95% CI - High,Quartile,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Quartile,# Unemployed,Labor Force,% Unemployed,Quartile,% Children in Poverty,95% CI - Low,95% CI - High,Quartile,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (white),80th Percentile Income,20th Percentile Income,Income Ratio,Quartile,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low,95% CI - High,Quartile,# Associations,Social Association Rate,Quartile,Annual Average Violent Crimes,Violent Crime Rate,Quartile,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Quartile,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (white),Injury Death Rate (white) 95% CI - Low,Injury Death Rate (white) 95% CI - High,Average Daily PM2.5,Quartile,Presence of Water Violation,Quartile,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Quartile,% Drive Alone to Work,95% CI - Low,95% CI - High,Quartile,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (white),% Drive Alone (white) 95% CI - Low,% Drive Alone (white) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Quartile
01000,Alabama,,,88086,10350,10246,10454,,5967,4840,7094,,3411,2945,3876,,13245,13023,13467,,5244,4901,5588,,9563,9439,9686,,21,20,23,,4.8,4.5,5.1,,5.6,5.3,6.0,,,10,10,11,,10,8,12,9,9,10,16,16,16,7,7,8,8,8,8,21,20,23,,36,35,38,,5.3,,31,29,32,,57,,15,14,16,,1255,4848,26,25,27,,31228,636.9,,28,27,28,,14,11,17,4,3,5,34,33,35,52,50,54,23,23,23,457718,12,11,12,,3228,66,1519:1,,2429,49,2026:1,,5818,118,846:1,,4875,,8445,2704,6198,4263,4597,42,,37,35,41,32,42,42,,39,42,30,32,45,2905059,3344006,87,87,87,,761762,1237123,62,61,62,,131065,2230132,5.9,,21,20,22,,26,12,38,38,13,106150,20580,5.2,,339392,1090304,31,31,32,,5960,12.2,,23307,480,,21249,87,86,88,,37,28,48,28,23,33,86,84,88,43,39,46,92,91,94,9.0,,,,14,13,14,12,12,12,2,2,2,1,1,1,,85,85,85,,80,78,81,76,74,79,83,83,84,77,76,79,86,86,86,2095195,35,35,36,
01001,Alabama,Autauga,,836,8027,7198,8857,1,,,,,,,,,11549,9369,13728,,,,,,7333,6411,8254,,20,18,23,1,4.5,4.2,4.8,1,5.4,5.1,5.7,1,,10,9,11,2,,,,,,,14,12,17,,,,8,7,9,20,17,22,1,35,34,37,1,6.5,3,32,30,35,1,63,1,16,15,17,4,18,56,32,25,39,3,323,578.1,2,23,20,26,1,,,,,,,29,23,37,,,,22,19,25,4366,9,8,11,1,25,45,2235:1,2,19,34,2955:1,2,21,37,2674:1,3,4931,3,,,11278,,4356,42,2,,,39,15,43,42,2,,36,31,33,44,33587,37860,89,87,90,1,8733,14382,61,55,67,1,1262,25838,4.9,2,15,9,20,1,,17,50,14,16,109878,21396,5.1,3,3628,13143,28,22,33,2,72,12.9,2,149,272,2,191,69,59,78,1,,,,,,,63,44,87,,,,73,61,84,9.5,4,No,1,15,12,17,13,10,15,1,1,2,2,1,3,3,87,84,89,3,,,,,,,83,76,90,,,,83,78,89,24949,41,36,45,3
01003,Alabama,Baldwin,,3377,8118,7667,8570,1,,,,,,,,,11603,9971,13235,,4591,3232,6327,,8059,7555,8562,,17,15,20,1,4.2,3.9,4.5,1,5.2,4.8,5.5,1,,8,8,9,1,,,,9,5,13,15,13,17,6,5,8,8,7,8,20,17,23,1,30,28,31,1,7.4,1,28,25,30,1,75,1,22,21,22,4,57,177,32,28,36,3,750,336.0,1,24,22,25,1,,,,,,,31,26,35,42,34,50,22,21,24,19085,11,10,12,1,154,69,1450:1,1,112,49,2047:1,1,228,99,1006:1,2,3578,1,,4956,5689,2386,3503,44,1,25,44,44,31,44,46,1,43,50,31,35,47,140740,155563,90,89,91,1,33289,50798,66,62,70,1,5425,96763,5.6,3,12,7,18,1,31,,16,24,8,120479,27466,4.4,1,8613,46902,18,15,22,1,226,10.1,3,408,204,1,817,75,70,80,1,,,,,,,63,49,81,26,14,44,80,74,86,7.2,1,No,1,12,11,14,11,10,12,1,1,2,1,0,1,3,83,81,85,1,,,,,,,87,80,94,68,56,80,82,80,83,97098,38,35,41,2
01005,Alabama,Barbour,,539,12877,11150,14604,4,,,,,,,,,15534,12931,18136,,,,,,9950,7691,12209,,31,28,34,4,5.9,5.6,6.2,4,6.1,5.9,6.4,4,,12,10,13,3,,,,,,,16,14,18,,,,7,5,9,28,25,31,4,40,39,42,4,5.7,4,42,39,44,4,50,2,14,13,15,1,12,32,38,28,46,4,221,895.2,4,35,29,40,3,,,,,,,34,28,42,77,45,123,30,23,39,2194,13,11,15,3,9,36,2743:1,3,9,37,2732:1,2,6,24,4098:1,3,4548,2,,,5222,,4207,46,1,,,46,,46,36,3,,,30,,37,13300,17797,75,72,77,4,2566,6690,38,33,44,4,605,8587,7.0,4,38,24,51,4,,,59,88,15,79175,13207,6.0,4,2822,5222,54,48,60,4,18,7.3,4,106,414,3,103,82,66,98,1,,,,,,,82,61,108,,,,86,64,114,9.0,2,No,1,15,13,18,13,11,16,3,2,5,0,0,1,4,84,81,87,2,,,,,,,77,70,85,,,,87,83,90,8555,37,31,42,2
01007,Alabama,Bibb,,460,11191,9626,12757,2,,,,,,,,,11737,8711,15474,,,,,,11369,9516,13222,,25,22,27,3,5.2,4.9,5.4,3,5.8,5.6,6.1,3,,10,9,11,2,,,,,,,17,13,21,,,,8,7,10,25,23,28,4,41,40,42,4,7.6,1,38,35,40,3,11,4,16,15,17,3,6,28,21,12,32,1,121,540.3,2,34,28,40,3,,,,,,,24,14,38,,,,36,29,43,1824,11,9,13,1,13,58,1723:1,1,6,27,3689:1,3,6,27,3689:1,3,6329,4,,,7592,,6232,37,3,,,41,,37,33,4,,,22,,35,12931,15987,81,78,84,4,2392,6333,38,31,44,4,573,8640,6.6,3,22,14,30,2,,,42,8,25,87594,16239,5.4,3,1666,4539,37,25,49,3,20,8.9,3,20,89,1,116,103,85,122,4,,,,,,,95,60,142,,,,109,88,134,9.4,4,No,1,11,7,15,9,6,13,1,0,2,1,0,2,2,88,84,91,4,,,,,,,,,,,,,,,,8107,55,47,63,4
01009,Alabama,Blount,,1143,10787,9825,11749,2,,,,,,,,,,,,,,,,,,,,,23,20,26,2,4.9,4.6,5.3,2,5.7,5.4,6.0,2,,8,7,9,1,,,,,,,,,,8,6,10,8,7,9,22,19,25,2,39,37,40,3,7.8,1,33,31,36,2,23,4,16,15,17,4,14,93,15,10,21,1,234,404.7,2,30,26,33,2,,,,,,,,,,31,23,41,30,26,33,6663,14,13,16,4,13,22,4448:1,4,11,19,5262:1,4,10,17,5788:1,4,4260,1,,,10161,2138,4231,37,3,,,,32,37,40,2,,,25,30,40,32976,39814,83,81,84,3,7843,13939,56,51,62,2,1008,24661,4.1,1,19,14,24,1,,,3,39,15,100031,20993,4.8,2,3012,13352,23,17,28,1,43,7.4,4,279,483,3,303,105,93,117,4,,,,,,,,,,40,20,72,113,100,126,9.4,4,No,1,10,9,12,8,6,9,2,1,2,1,1,2,1,88,86,91,4,,,,,,,,,,78,36,100,84,81,87,22636,60,54,65,4
01011,Alabama,Bullock,,203,11406,9005,13808,2,,,,,,,,,,,,,,,,,,,,,31,28,34,4,5.5,5.2,5.8,4,5.7,5.4,6.0,2,,15,13,17,4,,,,,,,18,15,21,8,3,12,,,,25,23,28,4,44,42,45,4,4.6,4,41,38,44,4,2,4,13,13,14,1,8,23,35,24,46,4,75,742.5,3,40,32,51,4,,,,,,,40,30,52,73,39,124,,,,752,11,9,13,1,3,30,3367:1,3,2,20,4988:1,4,2,20,4988:1,4,3775,1,,,3875,,2988,41,2,,,33,,56,28,4,,,21,,40,5084,6784,75,70,80,4,640,2279,28,18,39,4,265,4818,5.5,2,39,24,53,4,,,56,67,,88821,10956,8.1,4,1333,2265,59,49,69,4,8,7.9,4,33,311,2,50,98,73,130,3,,,,,,,107,76,147,,,,100,50,179,9.0,2,No,1,17,12,23,17,11,24,0,0,1,2,0,4,4,80,75,86,1,,,,,,,76,65,88,,,,83,79,88,3985,47,32,62,4
01013,Alabama,Butler,,441,12717,10845,14589,4,,,,,,,,,14141,11401,16881,,,,,,12183,9437,14930,,27,25,30,3,5.3,5.1,5.6,3,6.0,5.7,6.2,3,,13,11,14,4,,,,,,,16,13,18,,,,9,7,11,25,22,27,3,40,38,41,3,6.9,2,41,38,43,4,42,3,14,13,14,1,19,54,35,28,42,4,207,1064.4,4,39,33,45,4,,,,,,,39,32,48,,,,40,31,51,1755,12,10,13,2,5,26,3890:1,4,7,36,2786:1,2,13,67,1500:1,2,5885,4,,,6545,,5605,39,3,,,36,,41,28,4,,,22,,31,11934,13820,86,84,89,1,1777,4787,37,30,44,4,801,9056,8.8,4,31,19,43,4,,,43,77,10,98464,17261,5.7,4,1809,4401,41,34,48,3,18,9.3,3,117,582,4,104,106,85,126,4,,,,,,,111,82,146,,,,106,79,138,8.8,2,No,1,13,10,15,11,8,13,2,1,3,1,0,2,3,86,84,89,3,,,,,,,84,80,88,,,,88,84,92,7894,37,32,43,2
01015,Alabama,Calhoun,,2476,11826,11114,12538,3,,,,,,,,,12233,10678,13787,,,,,,12018,11174,12861,,24,22,26,2,4.9,4.6,5.2,2,5.7,5.4,6.1,2,,9,9,10,2,,,,,,,15,13,16,7,4,9,8,7,8,23,20,25,2,36,35,37,2,5.9,4,33,30,35,1,49,2,16,15,17,4,16,112,14,10,19,1,829,729.7,3,30,28,33,2,,,,,,,31,27,34,38,28,50,30,28,33,10767,12,10,13,2,70,62,1623:1,1,77,68,1474:1,1,161,142,705:1,1,5234,3,,,6297,5357,5073,35,4,,50,39,30,34,39,3,,48,28,28,40,67180,78967,85,84,86,2,16656,28729,58,54,62,2,3260,46240,7.1,4,17,9,24,1,,14,37,17,13,97379,20477,4.8,2,7621,24599,31,27,35,2,152,13.4,1,871,756,4,528,93,85,100,2,,,,,,,74,60,91,45,22,83,102,92,112,9.4,4,No,1,13,12,14,11,10,12,2,1,2,1,0,1,3,85,83,86,2,,,,,,,86,83,90,88,77,99,87,86,89,47349,30,27,32,1
01017,Alabama,Chambers,,686,11059,9700,12419,2,,,,,,,,,10544,8657,12432,,,,,,11004,9116,12892,,25,23,28,3,5.1,4.9,5.4,2,5.8,5.6,6.1,2,,13,11,14,4,,,,,,,17,15,19,6,3,10,10,8,11,24,21,26,2,40,38,41,3,7.0,2,37,34,40,3,57,1,14,14,15,2,12,40,30,22,38,3,240,721.7,3,37,33,42,3,,,,,,,37,30,44,61,29,111,37,30,44,3178,12,10,14,2,15,45,2217:1,2,7,21,4695:1,4,1,3,32865:1,4,4068,1,,,4273,,3742,37,3,,,36,,37,43,1,,,33,,47,19631,23771,83,80,85,3,4310,7928,54,47,61,2,1078,15865,6.8,3,26,16,36,3,,,27,75,15,86774,19452,4.5,1,2205,6937,32,24,40,2,60,18.0,1,181,529,4,169,101,86,116,3,,,,,,,64,46,86,,,,132,108,155,9.3,3,No,1,15,13,18,11,9,13,3,2,4,2,1,2,4,87,85,90,3,,,,,,,84,76,92,,,,85,80,90,14187,31,26,35,1
