FIPS,State,County,# deaths due to COVID-19 during 2020,COVID-19 death rate,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (white),Life Expectancy (white) 95% CI - Low,Life Expectancy (white) 95% CI - High,# Deaths,Age-adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (white),Age-Adjusted Mortality (white) 95% CI - Low,Age-Adjusted Mortality (white) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (white),Child Mortality Rate (white) 95% CI - Low,Child Mortality Rate (white) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (white),Infant Mortality Rate (white) 95% CI - Low,Infant Mortality Rate (white) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (white),Drug Overdose Mortality Rate (white) 95% CI - Low,Drug Overdose Mortality Rate (white) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (white),MV Mortality Rate (white) 95% CI - Low,MV Mortality Rate (white) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance,Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (white),Average Grade Performance,Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (white),Segregation index,Spending per-pupil,School funding,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,95% CI - Low,95% CI - High,Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (white),Household Income (white) 95% CI - Low,Household Income (white) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,% household income required for childcare expenses,# childcare centers,County Value,Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (white),Homicide Rate (white) 95% CI - Low,Homicide Rate (white) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (white),Suicide Rate (white) 95% CI - Low,Suicide Rate (white) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (white),Firearm Fatalities Rate (white) 95% CI - Low,Firearm Fatalities Rate (white) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,% Broadband Access,Numerator,95% CI - Low,95% CI - High,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic white,% Non-Hispanic white,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% female,# rural residents,% rural
01000,Alabama,,6544,104,74.8,74.8,74.9,111.8,99.3,124.3,87.3,85.9,88.7,72.4,72.2,72.6,94.6,91.9,97.2,75.4,75.3,75.5,88086,500,496,503,227,197,257,169,152,186,618,610,625,219,205,234,475,471,479,2912,67,64,69,71,41,115,37,25,53,96,90,101,54,46,62,54,51,56,3240,8,8,8,,,,5,3,7,12,12,13,6,5,7,6,6,6,15,14,16,18,17,20,12,11,13,13875,336,788250,16,418731,9,2572,17,17,18,11,5,20,4,2,8,12,11,14,4,3,6,21,20,22,6902,20,20,21,12,8,18,7,5,9,21,20,22,15,13,17,21,20,21,40,38,41,425108,15,14,15,36655,3,3,4,101,987:1,52256,92,8,8,9,2.9,3.3,2.5,2.4,3.2,2.7,3.5,2.3,2.5,3.0,0.29,10102,-4296,37425,50823,0.74,0.73,0.75,53958,52832,55084,49162,44198,54126,67083,62274,71892,35239,34648,35830,42568,40291,44845,60213,59640,60786,55,57,51,24,,6,11,11,11,,,,2,1,4,28,27,29,6,5,7,5,5,5,4043,16,16,17,17,,,,8,5,11,6,5,7,7,5,8,21,20,22,5451,22,22,23,7,4,13,6,3,8,32,31,34,8,6,10,20,19,20,1897,6715,496000,,220,1306505,69,69,70,213588,12,12,12,80,1509206,80,80,4921532,22.1,17.8,1303754,26.5,34897,0.7,75551,1.5,5393,0.1,226557,4.6,3205777,65.1,46887,1,1,1,51.7,1957932,41.0
01001,Alabama,Autauga,55,82,76.6,75.8,77.3,,,,,,,73.9,72.1,75.8,94.1,74.0,114.2,77.0,76.2,77.8,836,427,397,457,,,,,,,540,462,618,,,,408,376,441,27,51,34,75,,,,,,,84,40,154,,,,46,27,73,30,7,5,10,,,,,,,,,,,,,,,,14,13,16,17,16,18,11,10,12,104,222,8670,16,7106,13,14,8,5,14,,,,,,,,,,,,,,,,74,19,15,24,,,,,,,22,13,35,,,,19,14,24,38,37,40,4050,12,10,14,360,3,2,3,45,2246:1,655,89,,,,3.1,,2.6,,3.3,2.9,,2.4,2.9,3.1,0.06,8600,-2619,38702,53601,0.72,0.64,0.80,67565,57517,77613,,,,98953,43853,154053,30718,22774,38662,81185,76977,85393,65130,59239,71021,45,28,25,18,15,5,6,4,9,,,,,,,,,,,,,,,,52,18,13,23,19,,,,,,,,,,,,,,,,49,18,13,23,,,,,,,18,9,33,,,,19,13,25,5,45,6200,8,155,16088,75,72,77,2862,14,11,17,83,17831,81,84,56145,23.2,16.2,11408,20.3,266,0.5,657,1.2,61,0.1,1741,3.1,41079,73.2,363,1,0,1,51.5,22921,42.0
01003,Alabama,Baldwin,165,50,77.7,77.3,78.1,104.6,67.6,141.6,82.5,79.3,85.8,73.8,72.4,75.1,86.6,82.1,91.2,77.8,77.4,78.2,3377,382,368,396,,,,,,,561,501,621,195,144,259,377,362,392,97,51,41,62,,,,,,,61,32,104,,,,52,41,65,84,5,4,7,,,,,,,,,,,,,,,,13,11,14,16,15,18,9,9,10,328,173,28590,13,14466,8,118,18,14,21,,,,,,,,,,,,,,,,252,17,15,19,,,,,,,19,12,27,,,,17,15,20,36,35,38,17611,14,12,15,1692,3,2,4,70,1433:1,2424,90,6,3,9,3.2,,2.6,2.7,3.4,3.0,,2.3,2.7,3.2,0.09,10046,334,39434,52757,0.75,0.70,0.79,71135,65660,76610,,,,,,,39500,32792,46208,54063,40336,67790,66695,64366,69024,46,40,29,17,66,6,3,2,4,,,,,,,10,6,17,,,,3,2,4,214,20,17,22,20,,,,,,,,,,,,,,,,153,14,12,16,,,,,,,14,8,24,,,,15,12,17,181,399,22400,26,134,64716,77,76,78,9296,11,10,13,85,71498,83,87,229287,21.1,21.6,19441,8.5,1788,0.8,2529,1.1,152,0.1,10625,4.6,191015,83.3,1593,1,0,1,51.6,77060,42.3
01005,Alabama,Barbour,38,110,72.9,71.6,74.1,,,,,,,70.6,68.8,72.4,,,,75.1,73.5,76.8,539,590,537,642,,,,,,,695,610,780,,,,506,437,575,17,83,48,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,21,21,19,22,17,16,17,105,498,5250,21,2865,10,,,,,,,,,,,,,,,,,,,,50,28,21,37,,,,,,,31,21,45,,,,22,13,34,41,40,42,2027,17,14,19,183,4,2,5,61,1639:1,273,85,,,,2.4,,2.1,2.1,2.8,2.0,,1.8,1.9,2.4,0.04,8813,-15097,30181,41377,0.73,0.61,0.85,38866,32484,45248,,,,53750,21785,85715,22835,20661,25009,30350,7516,53184,51017,43607,58427,60,20,19,24,8,6,11,7,17,,,,,,,,,,,,,,,,20,14,8,23,16,,,,,,,,,,,,,,,,32,26,17,36,,,,,,,25,14,41,,,,29,17,47,5,52,2400,24,102,5775,62,59,65,1055,12,9,15,65,6025,61,69,24589,20.5,20.3,11756,47.8,172,0.7,112,0.5,50,0.2,1149,4.7,11130,45.3,433,2,1,3,47.2,18613,67.8
01007,Alabama,Bibb,40,147,73.6,72.4,74.8,,,,,,,72.3,69.6,75.0,,,,73.5,72.2,74.9,460,568,514,621,,,,,,,628,505,772,,,,573,511,634,15,82,46,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,18,19,18,20,13,12,13,40,208,3680,16,102,0,16,24,14,39,,,,,,,,,,,,,,,,41,26,19,35,,,,,,,29,14,54,,,,25,17,36,40,39,41,1693,14,12,16,143,3,2,4,145,692:1,243,92,,,,2.7,,2.2,,2.8,2.6,,2.2,,2.7,0.09,9909,-4280,36265,46194,0.79,0.59,0.98,50907,42233,59581,,,,,,,14591,6958,22224,63438,10970,115906,54895,46458,63332,59,48,46,21,5,4,10,5,16,,,,,,,,,,,,,,,,18,17,10,28,16,,,,,,,,,,,,,,,,20,18,11,28,,,,,,,,,,,,,,,,1-4,68,2100,,27,5428,75,70,79,650,9,5,14,76,5526,72,80,22136,20.0,17.1,4644,21.0,102,0.5,57,0.3,27,0.1,649,2.9,16420,74.2,75,0,0,1,46.8,15663,68.4
01009,Alabama,Blount,92,117,74.2,73.4,74.9,,,,,,,,,,98.2,75.9,120.4,73.6,72.8,74.4,1143,533,501,565,,,,,,,612,369,956,207,130,313,555,520,589,38,71,50,98,,,,,,,,,,,,,,,,31,7,5,10,,,,,,,,,,,,,,,,16,14,17,18,17,20,11,11,12,35,72,8380,15,1440,3,31,18,12,25,,,,,,,,,,,,,,,,124,31,25,36,,,,,,,,,,,,,,,,39,37,40,6076,18,16,20,643,5,3,6,26,3859:1,678,95,14,8,19,2.9,,,2.6,3.0,2.8,,,2.5,2.8,0.11,9021,-574,38525,45133,0.85,0.75,0.96,55203,46406,64000,,,,125272,94779,155765,42656,22853,62459,40783,25754,55812,49580,46718,52442,52,52,30,22,16,5,7,5,10,,,,,,,,,,,,,,,,61,21,16,27,21,,,,,,,,,,,,,,,,59,20,16,26,,,,,,,,,,,,,,,,12,28,6200,6,43,16132,76,73,79,1722,9,7,11,80,16884,77,83,57879,22.8,19.0,884,1.5,364,0.6,220,0.4,70,0.1,5524,9.5,50238,86.8,801,1,1,2,50.6,51562,90.0
01011,Alabama,Bullock,20,160,73.8,72.0,75.6,,,,,,,71.6,69.4,73.8,,,,79.0,76.0,82.0,203,556,477,636,,,,,,,667,561,773,,,,341,232,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,19,19,18,20,18,17,19,52,608,1610,16,3529,32,,,,,,,,,,,,,,,,,,,,36,50,35,69,,,,,,,,,,,,,,,,45,43,46,706,15,12,17,50,2,1,3,90,1108:1,85,93,,,,2.1,,,,,2.0,,,,,0.01,10229,-19217,23838,34889,0.68,0.51,0.85,33124,26877,39371,,,,,,,26579,17140,36018,,,,76389,55007,97771,75,31,28,36,5,8,15,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,26,14,44,,,,,,,,,,,,,,,,0,11,900,12,40,2531,74,67,81,387,13,7,19,61,2079,51,70,9976,20.8,17.7,6852,68.7,88,0.9,27,0.3,76,0.8,885,8.9,2104,21.1,150,2,0,3,45.3,5607,51.4
01013,Alabama,Butler,52,171,73.5,72.1,74.9,,,,,,,71.9,69.9,74.0,,,,74.1,72.1,76.1,441,607,546,667,,,,,,,720,621,820,,,,554,473,635,14,80,44,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,19,20,18,21,15,14,16,65,396,3280,17,1449,7,,,,,,,,,,,,,,,,,,,,53,38,29,50,,,,,,,34,21,52,,,,44,30,62,42,41,43,1621,15,12,17,146,3,2,5,82,1219:1,185,93,,,,2.5,,2.3,,3.0,2.1,,1.9,,2.6,0.11,9541,-10515,30908,37791,0.82,0.59,1.04,42268,35369,49167,48556,47988,49124,,,,31250,23731,38769,,,,56493,48909,64077,80,29,30,28,5,4,19,13,28,,,,,,,,,,,,,,,,13,14,7,24,13,,,,,,,,,,,,,,,,26,26,17,39,,,,,,,32,17,53,,,,22,11,39,1-4,37,2000,,58,4872,73,72,75,668,11,8,14,74,4894,70,78,19504,22.1,21.4,8699,44.6,77,0.4,266,1.4,8,0.0,323,1.7,9943,51.0,59,0,0,1,53.4,14921,71.2
01015,Alabama,Calhoun,175,119,72.8,72.3,73.3,,,,,,,72.8,71.5,74.0,90.5,76.1,104.9,72.5,71.9,73.1,2476,587,563,611,,,,,,,604,548,661,292,187,435,600,571,628,57,58,44,75,,,,,,,72,43,114,,,,52,36,73,71,8,6,10,,,,,,,14,9,19,,,,6,4,9,16,15,17,19,18,20,13,12,13,262,272,19660,17,18258,15,66,19,15,25,,,,,,,19,10,32,,,,21,16,27,176,22,19,25,,,,,,,20,14,28,,,,24,20,28,38,37,40,10100,15,13,17,747,3,2,4,71,1418:1,1250,93,7,4,10,2.9,,2.5,2.6,3.2,2.8,,2.4,2.6,3.0,0.21,10363,-4322,36826,47337,0.78,0.71,0.85,50259,44058,56460,54115,26262,81968,,,,37707,31120,44294,49563,26798,72328,53622,50295,56949,60,46,41,19,33,5,10,8,13,,,,,,,21,15,29,,,,7,5,10,126,22,18,25,22,,,,,,,12,7,20,,,,24,20,29,149,26,22,30,,,,,,,27,19,38,,,,27,22,32,153,212,11500,32,171,31370,70,69,72,4144,10,8,11,80,35553,78,82,113469,21.4,18.5,24049,21.2,598,0.5,1002,0.9,127,0.1,4668,4.1,81012,71.4,754,1,0,1,51.9,39955,33.7
01017,Alabama,Chambers,73,147,73.8,72.8,74.8,,,,,,,74.3,72.8,75.8,,,,73.6,72.3,74.9,686,531,488,573,,,,,,,543,474,611,,,,526,470,583,24,86,55,129,,,,,,,,,,,,,,,,24,9,6,13,,,,,,,,,,,,,,,,16,15,18,19,18,20,14,13,15,115,407,5190,15,2772,8,10,10,5,18,,,,,,,,,,,,,,,,59,25,19,32,,,,,,,17,10,28,,,,31,22,42,41,39,42,3001,15,13,18,196,3,2,4,15,6573:1,294,87,13,5,20,2.6,,2.4,2.1,3.1,2.5,,2.2,2.1,2.9,0.16,10198,-13303,32142,42710,0.75,0.66,0.84,39318,37146,41490,,,,,,,34995,28958,41032,70159,3414,136904,49953,45029,54877,71,33,33,33,12,6,11,7,16,,,,,,,15,8,25,,,,8,4,15,45,27,19,36,27,,,,,,,,,,,,,,,,45,27,20,36,,,,,,,15,7,27,,,,37,26,52,0,81,3100,26,115,9133,67,64,71,1268,10,8,12,75,10122,72,77,32865,20.5,20.6,13131,40.0,115,0.3,377,1.1,19,0.1,915,2.8,18005,54.8,111,0,0,1,52.3,16816,49.1
