Food Environment Index,% With Access to Exercise Opportunities,% Uninsured,% Completed High School,% Some College,Average Daily PM2.5,Presence of Water Violation,% Food Insecure,Median Household Income,% Homeowners,Value
5.9,0,23,77,32,7.7,No,16,45378,71,146.1
5.3,0,13,70,28,8.9,Yes,13,36424,73,212.3
7.8,0,16,82,45,8.9,Yes,15,51532,68,204.8
8,0,7,87,52,8.8,No,14,55112,76,197.9
8,0,7,89,60,9.4,No,14,48088,78,234.6
7.7,0,22,85,51,6.8,Yes,10,61477,79,232.7
6.7,0,22,84,56,5.5,No,14,50804,73,187.9
8.2,0,18,90,57,8.8,Yes,12,54851,81,226.7
8.7,0,11,94,76,6.2,No,6,56671,82,146.4
6.3,0,12,93,61,5.8,No,9,51952,73,166.6
7.5,0,15,79,46,7.3,No,17,40120,81,211.6
3.9,0,23,81,54,7.2,Yes,14,40955,83,183.6
1.7,0,32,57,31,5.7,Yes,17,40666,73,150.1
4.4,0,26,22,1,10.3,No,14,45980,21,165.2
5.2,0,18,92,66,5.7,No,12,61013,73,194.9
2,0,22,88,39,8,Yes,21,43076,72,161.3
8.1,0,8,93,60,6.3,No,12,62099,89,169.9
5.1,1,11,82,42,8.9,Yes,19,37499,75,241.7
4.5,1,12,79,41,9,Yes,20,31909,70,305.9
6.8,1,9,90,53,9.4,No,17,57697,78,232.5
6.1,1,18,72,48,7.7,No,21,43088,79,329.8
6.2,1,19,73,33,8.6,No,18,40205,70,159
8.6,1,7,92,62,9.4,No,11,68683,81,162.1
7.7,1,13,94,75,7,Yes,12,50231,78,151.7
7.8,1,13,79,47,8.7,No,14,50393,67,221.9
4.8,1,16,72,47,9,No,25,30474,64,304.5
4.4,1,19,83,54,9.4,No,21,37305,75,227
7.3,1,17,88,49,8.2,No,16,46535,74,221.9
8,1,22,80,40,8.2,No,13,47740,79,166.6
4.6,1,13,92,42,5.6,No,12,42741,81,169.3
7.3,1,13,96,67,5.6,No,12,51082,84,181.3
7.5,1,12,84,58,8,No,14,49089,82,144.6
2.9,1,10,85,95,4.8,No,16,39913,57,131.5
8.3,1,12,88,74,6.1,No,7,49972,81,124.1
1.7,1,24,84,50,5,No,23,36853,60,166.5
8,1,12,90,63,5.9,No,9,64693,77,198.3
7.3,1,10,96,81,5.1,No,7,59157,87,119.2
7.8,1,14,89,65,5.7,No,11,45288,72,167
7.4,1,15,84,48,8,No,14,50046,70,306.1
6.8,1,12,93,80,7.4,Yes,13,69499,70,185.3
6.6,1,29,70,38,6.7,No,17,44584,72,196.6
7.2,1,26,77,51,7.9,Yes,13,45330,74,165.7
8.6,1,12,86,44,7.5,No,9,70511,83,183.9
7.2,1,8,83,49,8.1,No,17,49076,78,212.5
4.6,2,11,75,28,9,No,16,33124,74,246.5
6.3,2,17,83,63,9,No,15,48184,77,238.3
7.8,2,18,83,54,8.9,No,15,50619,73,201.7
8,2,7,94,67,9.1,Yes,12,61648,89,164.6
5.9,2,16,86,61,8.7,No,16,43155,76,213.5
6.9,2,12,94,65,7,Yes,14,46688,83,181
7.7,2,10,95,61,7.5,No,11,60560,79,149.4
0,2,16,74,53,8.8,No,24,31077,59,275.6
6.3,2,18,80,39,8.8,No,21,46163,62,238.8
7.7,2,14,90,55,7.6,No,13,44361,82,189.3
8.8,2,11,95,74,5.4,No,8,62597,72,157.7
8,2,12,97,80,5.5,No,10,48461,75,177.2
9.4,2,9,93,63,5.3,No,5,50673,73,171.9
7.5,2,14,87,81,6.1,No,4,47908,84,114.7
7.8,2,18,89,70,5.6,No,7,54916,82,169.9
4.5,2,22,85,54,4.9,No,20,45478,64,229.1
5.8,2,17,93,56,6.5,No,15,69927,83,247
4.4,3,8,84,42,8.4,No,18,49529,73,240.1
6,3,19,74,37,9.4,No,21,35880,72,297.2
8,3,10,88,44,8.1,Yes,12,55062,70,140.4
7.2,3,19,90,58,6.8,No,13,50673,65,171.5
6.5,3,12,81,47,8.1,No,22,33109,77,235.6
6.3,3,18,91,75,6.5,No,12,62256,83,246.7
8.1,3,20,79,49,8,Yes,11,73367,70,192.5
6.7,3,27,83,42,8.3,Yes,17,49089,88,171.6
7.2,3,19,91,50,9.5,No,18,45122,73,236.6
7.4,3,8,80,51,8.4,Yes,17,40741,78,205.6
7.1,4,11,83,44,9.2,No,15,46509,81,231
4.2,4,12,81,50,9.1,No,22,33609,69,244.6
7.2,4,12,83,50,9.2,No,18,41870,76,249.5
5.7,4,10,84,50,9.6,No,14,50865,84,234.2
4.3,4,11,83,46,5,No,11,59409,75,145.8
7.7,4,6,97,56,5.6,No,12,49890,89,156.4
6.3,4,17,86,37,7.9,No,16,43482,75,191
7.3,4,14,87,53,8.5,Yes,15,56447,73,252.4
5.9,4,7,97,89,4.7,No,11,59511,69,143.9
5.1,4,13,96,66,6.2,No,14,52154,76,146.8
7.7,4,11,91,67,5.1,No,6,53330,83,141
6.5,4,8,89,61,7.4,No,13,62271,69,135.7
7.7,4,20,85,36,7.6,No,13,46156,81,183.5
6.8,5,14,86,58,9.2,No,18,36346,89,213.5
4.5,5,30,64,42,4.7,No,7,52182,55,168.2
8.3,5,11,90,54,8.9,Yes,12,57061,85,169.8
6.2,5,9,99,78,5.8,No,9,38661,66,188.2
5.5,5,20,94,77,5.5,No,15,52780,68,164.1
6.7,5,14,95,76,4.3,No,11,51831,62,152.7
3.9,5,18,80,51,5.9,Yes,13,35395,50,215.2
8.5,5,13,86,60,8,No,12,50977,81,167.9
7.2,5,12,92,54,6.4,Yes,6,62651,80,149.7
6.7,5,19,95,81,5.1,No,8,58732,66,159.1
6.8,5,27,81,52,7.2,Yes,17,63479,69,205.4
6.5,5,31,81,44,8.3,No,15,48349,71,144.1
8.2,5,12,83,41,7.3,No,11,49339,74,149.4
6.7,5,7,88,86,7.5,No,14,58220,72,140.4
5.2,5,8,92,53,6.1,No,21,41365,67,177.8
7.9,6,11,88,58,5.3,No,13,39822,80,143.3
6.9,6,17,84,54,8.2,No,17,41778,66,223.9
7,6,15,75,51,8.2,No,18,36671,69,180.5
5.8,6,10,72,48,7.8,No,25,32389,74,275.8
6.2,6,10,83,37,9.7,Yes,18,41940,69,234.7
7.7,6,18,84,50,8.1,No,15,47698,73,193.6
8.4,6,17,94,66,5.8,No,6,46755,83,152
6.8,6,20,88,71,5.7,No,12,50299,77,145.6
8.8,6,10,86,55,8,No,10,64271,84,254
5.5,6,22,81,43,10.4,No,20,45769,83,273.1
9.1,6,14,82,56,6.5,No,9,61850,84,156.8
7.1,7,12,83,49,9,No,19,40204,73,216.7
6.1,7,7,93,68,7.4,No,12,59422,73,168.9
6,7,13,76,33,7.7,No,15,49313,71,261.2
7.4,7,18,83,52,8.3,No,15,47074,75,199.5
8.2,7,7,91,64,9.4,No,12,46080,80,196.7
7.4,7,9,91,61,8.2,Yes,11,56429,78,145.5
7.7,7,8,82,47,7.9,No,16,38275,72,233.1
4.8,7,17,89,54,7.7,Yes,12,45934,79,191
4.5,7,11,94,63,5.2,No,16,53234,60,150.5
5.8,7,10,90,61,6.3,No,7,49386,75,129
8,8,9,85,46,9.2,No,13,46935,82,191.2
7.1,8,9,76,44,7.7,No,18,37428,70,210.2
7.2,8,8,84,44,6.7,No,16,51787,66,278.2
6.4,8,15,83,60,9.3,No,19,43449,81,243.3
3.5,8,18,66,29,8.7,No,29,32675,49,213.8
6.5,8,17,80,54,9.4,No,18,36193,85,240.1
6.7,8,12,96,80,5.1,No,10,50610,77,155.4
5.5,8,12,85,51,4.5,Yes,16,47266,82,161.3
6.4,8,17,90,59,5,No,14,43531,70,196.8
7.1,8,14,81,36,7.7,No,19,37683,78,234
7.4,8,12,77,44,7.6,Yes,13,45556,74,184.7
8.1,8,9,84,48,6.9,No,10,57872,72,162.9
6.2,9,13,86,49,9.7,Yes,16,40566,67,261.3
6,9,11,81,43,9,Yes,20,36150,63,300.8
6.4,9,15,79,45,8.2,No,19,46042,64,238.4
8,9,17,80,54,8.8,No,14,46444,86,265.9
9,9,10,91,62,6.1,Yes,9,63719,78,183.1
7.2,9,13,88,48,7.4,Yes,14,51891,72,200.3
7.7,9,17,97,73,5.8,No,7,45892,69,180.3
8.1,9,10,92,74,6.5,No,12,54136,76,157.6
6.4,9,19,82,40,9.9,No,19,45823,73,289.5
5.7,9,15,75,35,7.6,No,19,46366,79,242.7
7.5,9,14,78,43,8.9,No,17,45520,75,223.3
5.8,9,19,91,61,8.4,Yes,16,62763,81,185.7
2.7,9,13,93,49,4.8,No,18,47206,89,163.8
6,10,12,79,49,9.7,No,19,40007,78,229.5
5.8,10,27,72,34,7.2,Yes,14,45328,80,123.8
7.4,10,16,93,49,6.3,No,14,49967,82,122.3
7.5,10,19,78,49,6.7,No,12,66592,68,158.6
