cnty_fips,display_name,Value
1001,"""Autauga, (AL)""",208.7
1003,"""Baldwin, (AL)""",182.9
1005,"""Barbour, (AL)""",297.9
1007,"""Bibb, (AL)""",259.4
1009,"""Blount, (AL)""",240.1
1011,"""Bullock, (AL)""",246.5
1013,"""Butler, (AL)""",221.8
1015,"""Calhoun, (AL)""",318.9
1017,"""Chambers, (AL)""",194.8
1019,"""Cherokee, (AL)""",220.5
1021,"""Chilton, (AL)""",246.8
1023,"""Choctaw, (AL)""",281
1025,"""Clarke, (AL)""",243.2
1027,"""Clay, (AL)""",268.8
1029,"""Cleburne, (AL)""",283.5
1031,"""Coffee, (AL)""",271
1033,"""Colbert, (AL)""",258.2
1035,"""Conecuh, (AL)""",248.9
1037,"""Coosa, (AL)""",231
1039,"""Covington, (AL)""",272.6
1041,"""Crenshaw, (AL)""",266.1
1043,"""Cullman, (AL)""",288.9
1045,"""Dale, (AL)""",223.6
1047,"""Dallas, (AL)""",330.7
1049,"""DeKalb, (AL)""",249.8
1051,"""Elmore, (AL)""",247.4
1053,"""Escambia, (AL)""",228.2
1055,"""Etowah, (AL)""",273.1
1057,"""Fayette, (AL)""",224
1059,"""Franklin, (AL)""",260.6
1061,"""Geneva, (AL)""",222.3
1063,"""Greene, (AL)""",244.6
1065,"""Hale, (AL)""",248.5
1067,"""Henry, (AL)""",198
1069,"""Houston, (AL)""",193.1
1071,"""Jackson, (AL)""",281
1073,"""Jefferson, (AL)""",199.1
1075,"""Lamar, (AL)""",216.7
1077,"""Lauderdale, (AL)""",192.3
1079,"""Lawrence, (AL)""",244
1081,"""Lee, (AL)""",152.6
1083,"""Limestone, (AL)""",241.2
1085,"""Lowndes, (AL)""",241.7
1087,"""Macon, (AL)""",316.3
1089,"""Madison, (AL)""",210.4
1091,"""Marengo, (AL)""",284.4
1093,"""Marion, (AL)""",259.4
1095,"""Marshall, (AL)""",239.3
1097,"""Mobile, (AL)""",244.8
1099,"""Monroe, (AL)""",204.9
1101,"""Montgomery, (AL)""",172.3
1103,"""Morgan, (AL)""",253.5
1105,"""Perry, (AL)""",273.9
1107,"""Pickens, (AL)""",249.5
1109,"""Pike, (AL)""",240
1111,"""Randolph, (AL)""",273.3
1113,"""Russell, (AL)""",180.2
1115,"""St. Clair, (AL)""",205.9
1117,"""Shelby, (AL)""",157.9
1119,"""Sumter, (AL)""",235
1121,"""Talladega, (AL)""",273
1123,"""Tallapoosa, (AL)""",248.9
1125,"""Tuscaloosa, (AL)""",228.8
1127,"""Walker, (AL)""",419.6
1129,"""Washington, (AL)""",213.5
1131,"""Wilcox, (AL)""",305.9
1133,"""Winston, (AL)""",239.4
2013,"""Aleutians East, (AK)""",95.3
2016,"""Aleutians West, (AK)""",89
2020,"""Anchorage, (AK)""",132.2
2050,"""Bethel, (AK)""",187.2
2060,"""Bristol Bay, (AK)""",-1
2068,"""Denali, (AK)""",112.5
2070,"""Dillingham, (AK)""",189.8
2090,"""Fairbanks North Star, (AK)""",145.2
2100,"""Haines, (AK)""",119.5
2105,"""Hoonah-Angoon, (AK)""",111.4
2110,"""Juneau, (AK)""",121.3
2122,"""Kenai Peninsula, (AK)""",134.8
2130,"""Ketchikan Gateway, (AK)""",141
2150,"""Kodiak Island, (AK)""",138.4
2158,"""Kusilvak, (AK)""",14.5
2164,"""Lake and Peninsula, (AK)""",146.6
2170,"""Matanuska-Susitna, (AK)""",114.7
2180,"""Nome, (AK)""",230.8
